timestamp_iso,gx_dps,gy_dps,gz_dps
2025-08-27T11:43:34.683969+00:00,-125.549,261.23,-382.568
2025-08-27T11:43:34.981003+00:00,60.73,-168.091,-557.8
2025-08-27T11:43:35.220947+00:00,192.2,-371.765,-556.458
2025-08-27T11:43:35.725272+00:00,219.482,-411.987,-448.853
2025-08-27T11:43:36.030169+00:00,345.459,-530.09,-348.999
2025-08-27T11:43:36.279717+00:00,108.887,-532.776,-36.072
2025-08-27T11:43:36.664154+00:00,-243.286,-189.819,-115.723
2025-08-27T11:43:36.903865+00:00,-356.567,121.887,-347.046
2025-08-27T11:43:37.198729+00:00,-256.775,240.051,-690.369
2025-08-27T11:43:37.653767+00:00,-146.057,185.73,-869.141
2025-08-27T11:43:37.900477+00:00,335.449,-129.456,-904.724
2025-08-27T11:43:38.243748+00:00,152.344,-362.61,-783.691
2025-08-27T11:43:38.678287+00:00,-695.374,144.165,-692.261
2025-08-27T11:43:38.914476+00:00,-578.613,516.296,-754.272
2025-08-27T11:43:39.293136+00:00,-437.256,379.456,-580.811
2025-08-27T11:43:39.699438+00:00,-346.436,318.298,-210.632
2025-08-27T11:43:39.929848+00:00,-421.082,384.155,-15.869
2025-08-27T11:43:40.224252+00:00,-481.812,448.73,341.675
2025-08-27T11:43:40.460353+00:00,-856.018,358.643,621.033
2025-08-27T11:43:40.747951+00:00,-1526.184,-389.954,738.098
2025-08-27T11:43:40.986593+00:00,-1525.513,-909.912,-560.974
2025-08-27T11:43:41.457139+00:00,-737.122,-200.195,-1328.064
2025-08-27T11:43:41.796528+00:00,-580.383,206.421,-1081.238
2025-08-27T11:43:42.057625+00:00,-1311.279,633.179,-226.562
2025-08-27T11:43:42.442133+00:00,-647.156,408.203,291.504
2025-08-27T11:43:42.682371+00:00,-783.875,214.844,315.002
2025-08-27T11:43:42.965993+00:00,-1312.378,-117.371,287.842
2025-08-27T11:43:43.389145+00:00,-438.782,-566.65,-19.165
2025-08-27T11:43:43.711301+00:00,-387.573,-698.425,-79.041
2025-08-27T11:43:44.002127+00:00,-695.496,-541.138,-459.595
2025-08-27T11:43:44.421716+00:00,-607.91,-236.511,-736.389
2025-08-27T11:43:44.662506+00:00,-469.299,9.949,-793.762
2025-08-27T11:43:44.943884+00:00,-902.771,405.09,-550.11
2025-08-27T11:43:45.231640+00:00,-519.47,707.642,-305.542
2025-08-27T11:43:45.587262+00:00,-889.404,752.136,46.814
2025-08-27T11:43:46.051995+00:00,-1137.024,498.779,486.938
2025-08-27T11:43:46.514961+00:00,-1998.169,-565.796,244.995
2025-08-27T11:43:46.802849+00:00,-959.961,-687.561,-722.168
2025-08-27T11:43:47.279926+00:00,-596.924,-208.191,-1200.684
2025-08-27T11:43:47.563616+00:00,-911.926,291.443,-953.064
2025-08-27T11:43:47.801667+00:00,-870.728,815.918,-240.967
2025-08-27T11:43:48.088022+00:00,-748.169,681.03,219.543
2025-08-27T11:43:48.327332+00:00,-1393.25,240.784,457.703
2025-08-27T11:43:48.713726+00:00,-1460.999,-578.491,62.866
2025-08-27T11:43:48.955210+00:00,-539.856,-733.093,-329.224
2025-08-27T11:43:49.330813+00:00,-934.204,-269.958,-920.288
2025-08-27T11:43:49.662425+00:00,-388.367,-59.448,-999.451
2025-08-27T11:43:49.917129+00:00,-972.595,539.429,-663.757
2025-08-27T11:43:50.351536+00:00,-554.443,734.314,-166.565
